companies,prices,locations,published_by,floors,construction_status,start_price,final_price,price_range,locality,floor_plan
RRR West Fields,,"in Sadashivpet , Hyderabad",by J Group,,Possession in 2026,,[],[],['in Sadashivpet '],[]
Sunway Green,,"in Alkapur Township, Manikonda, Outer Ring Road , Hyderabad",by Sunway Developers,2 Floor Plan,Possession in 2025,,[],[],['in Alkapur Township'],['2']
Jain Fairmount The ARC,86.4 Lac -  1.41 Cr,"in Dundigal, Outer Ring Road , Hyderabad",by Jain Constructions,,Possession in 2027,86.4,[- 1.41 Cr],"[('86.4', 'Lac', '1.41', 'Cr')]",['in Dundigal'],[]
JJ infras Oxy Flora,,"in Srisailam Highway , Hyderabad",by Aarna Infra Developers,,Ready To Move,,[],[],['in Srisailam Highway '],[]
Hill Side,85.4 Lac -  1.53 Cr,"in Chanda Nagar , Hyderabad",by RANJAY CONSTRUCTIONS AND VAIBHAV CONSTRUCTIONS,21 Floor Plan,Possession in 2025,85.4,[- 1.53 Cr],"[('85.4', 'Lac', '1.53', 'Cr')]",['in Chanda Nagar '],['21']
Marams Katam Ganesh Arcade,71 Lac -  93.9 Lac,"in Jillalguda , Hyderabad",by Maram Infra Projects Pvt. Ltd.,4 Floor Plan,Possession in 2027,71.0,[- 93.9 Lac],"[('71', 'Lac', '93.9', 'Lac')]",['in Jillalguda '],['4']
Tamra Asteria,,"in Bandlaguda Jagir , Hyderabad",by Tamra Developers,8 Floor Plan,Possession in 2027,,[],[],['in Bandlaguda Jagir '],['8']
Vijaya Golden City,,"in Shadnagar , Hyderabad",by Mukesh Infra Developers,,Possession in 2024,,[],[],['in Shadnagar '],[]
Golden Terra,33.8 Lac -  1.37 Cr,"in Shadnagar , Hyderabad",by Aarna Infra Developers,,Possession in 2024,33.8,[- 1.37 Cr],"[('33.8', 'Lac', '1.37', 'Cr')]",['in Shadnagar '],[]
RRR Nature Hill County,19.8 Lac -  68.4 Lac,"in Vasalamarri , Hyderabad",by Srea Real Estates Private Limited,,Possession in 2024,19.8,[- 68.4 Lac],"[('19.8', 'Lac', '68.4', 'Lac')]",['in Vasalamarri '],[]
Sanjeevani Lake City,,"in Sadashivpet , Hyderabad",by Aarna Infra Developers,,Ready To Move,,[],[],['in Sadashivpet '],[]
Golden Valley,,"in Kothur, NH 7 , Hyderabad",by Aarna Infra Developers,,Ready To Move,,[],[],['in Kothur'],[]
Anvita Ivana,92.5 Lac -  4.45 Cr,"in Kollur, Outer Ring Road , Hyderabad",by Anvita Buildpro LLP,44 Floor Plan,Possession in 2026,92.5,[- 4.45 Cr],"[('92.5', 'Lac', '4.45', 'Cr')]",['in Kollur'],['44']
ANVITA HIGH9,90.8 Lac -  1.93 Cr,"in Kollur, Outer Ring Road , Hyderabad",by RS Pasuraa and Anvita Buildpro LLp,17 Floor Plan,Possession in 2028,90.8,[- 1.93 Cr],"[('90.8', 'Lac', '1.93', 'Cr')]",['in Kollur'],['17']
Northscape,1.59 Cr -  2.07 Cr,"in Dundigal, Outer Ring Road , Hyderabad",by Kesineni Infra Developers LLP and Others,,Possession in 2026,159.0,[- 2.07 Cr],"[('1.59', 'Cr', '2.07', 'Cr')]",['in Dundigal'],[]
Mahalakshmis Nandanam,11.5 Lac -  23 Lac,"in Maheshwaram , Hyderabad",by Adrustar Developers Pvt Ltd,,Ready To Move,11.5,[- 23 Lac],"[('11.5', 'Lac', '23', 'Lac')]",['in Maheshwaram '],[]
The OtherSide,,"in Bacharam , Hyderabad",by AASHVI VIJETHA LLP,,Possession in 2028,,[],[],['in Bacharam '],[]
Nivriti Homes,,"in Hyder Nagar, NH 9 , Hyderabad",by Sri Sai Pranathi Builders and Developers,2 Floor Plan,Possession in 2025,,[],[],['in Hyder Nagar'],['2']
Paradise County,,"in Shadnagar , Hyderabad",by SRR Fortune Developers,,Possession in 2025,,[],[],['in Shadnagar '],[]
Gachibowli Paradise County Phase 4,,"in Patancheruvu , Hyderabad",by SRR Fortune Infra Pvt. Ltd.,,Ready To Move,,[],[],['in Patancheruvu '],[]
